uniq sequences,number appears
войну,1
раздувать,1
убили,2
пидарасты,1
проститутки,1
козел,4
долбоебов,4
животяху,1
обезьяна,1
долбоебизм,2
гоблин,1
падика,1
схуя,1
дебилушка,1
довыёбываешься,1
троль,2
убить,1
суку,2
заебали,6
бля,11
пиздеть,2
сдулся,1
дибилы,2
засранец,1
хуйню,3
угробить,1
пиздюки,1
выебоном,1
поебетень,1
душить,1
заразу,1
пидорасам,2
похуй,5
поросячьим визгом,1
говне,2
бабы-страшилы,1
дерьма,3
макак,1
конченный,1
ебанушка,1
сволочь-клоун,1
сволочь,5
сучка,3
жестокая,1
пиндюлей,1
маразм,1
дятел,1
проебать,1
хуйня,2
подзаборная,1
судить,1
глупо,1
аферистов,1
на кол сажать,1
ни хера,1
кармодрочерство,1
жопе,3
уёбков,2
гаду,1
либераста,1
пидараса,2
пизда,4
ленивый,1
плоха,1
ебать,6
пидарюга,1
дуру,1
гандон,2
вьебали,1
дохера,1
долбаёб,2
дураком,1
козёл,2
жирной ряхой,1
ебсти,1
убил,1
гавнo,1
ссанина,1
ауешная,1
манде,1
валить,1
удавили,1
жидовская,1
скудное умишко,1
высерает,1
дурак,6
паскуда,1
жопу,4
послать,1
обрыгаловки,1
пидр,1
хипишь,1
бычара,1
жирик,1
предал,1
жопой крутит,1
скомарох,1
хуеплет,1
пидорам,5
пидарасы,9
плешивую тварь,1
ебланка,1
пидарасв,1
ебанашка,2
заебись,3
дрочилы,1
баб,1
долбоеба,2
ебнутая,3
похрен,1
мерзавца,1
ебучий,1
долбоёбов,4
толстожоп,1
ишаки,1
блин,4
убирите,1
бабу,2
задолбала,1
гадина,1
уебаторов,1
уёбки,1
хуевы,1
нокаут,1
школота,1
втопила по тапкам,1
гниде,1
на хуй,1
стадо баранов,1
замбированные,1
агрессивных,1
прибить,2
х...ю,2
угнетает,1
мразило,1
пидорасом,1
фашистской,1
лахтопараши,1
конченное,1
семейек,1
бабки,1
пидрило,2
ебанику,1
пидорные,1
разъебало,1
долбоебка,1
ебало,2
черт,2
уродина,1
придурки,7
гадость,1
моральный урод,2
бандитов,1
нах,2
выблядки,2
ебучие,1
мочите,1
идиоты,8
заебалась,1
долбаны,1
рукоблудники,1
гон,1
ебанутая,2
дурочка,1
хз,1
ментов,1
сволота,1
поганая,1
настоебал,1
корыто,1
позорник,2
дураки,2
ебаный,3
херь,1
уёбище,2
пидора,6
ебут,1
гнида,3
охуенную,1
нагло,1
спиздили,2
фуфела,1
пиндосам,1
разводилово,1
пиздешь,2
пиздоболом,1
говно,9
нехуя,1
орать,1
кошмар,2
шваль,3
заепали,1
пиндосии,1
извращенца,1
драная,1
вонючей,2
шлюхе,1
чушь,1
трусливый,1
подвесить,1
яйца,2
хрена,1
дегенераты,1
пиздец,7
преступников,1
идиотами,1
дерьмо,5
блядям,3
пидар,1
хуею,1
пиздлявых,1
мразей,2
блять,10
мудаки,1
нахрен,1
пидерастов,1
долбаёба,1
убогим,1
руки поотсыхали,1
проклятые,1
выродки,1
долбаеб,2
обкакался,1
хуеосить,1
ненавижу,1
презираю,1
издох,1
чмо ботоксное,1
пидоросятина,1
москалей,1
пидорцев,1
выблядко,1
захрибетник,1
угнетаешь,1
мудак,3
ебанатиков,1
недоебки,1
твердолобый,1
жырняга,1
погнали,1
дурик,1
пидаров,2
пидармоту,1
поносу,1
тьфу,2
задолбали,1
убивать,1
крушить,2
пусто,1
оторвать,2
ублюдочная,1
наеб,1
идиотка,1
либерасты,1
пиндосию,1
ебло,2
лохов,2
напиздел,2
далбаеб,1
дебоширов,1
обнуленный,1
старикашка,1
клоунады,1
колбасит,1
лупастого,1
недоноска,1
похуизм,1
нахер,2
попизди,1
шаболда,1
ибанная,1
пердаков разорвал,1
свиным рылом,1
ебашит,1
пиздоболка,2
ебаного,1
дауны,1
дебилка,1
говнюка,1
жмотьё,1
уебанки,1
конченные,1
пидорасы,5
опущен,1
голубые,1
пиздиш,1
мусара,1
кукарекнула,1
харкаче,1
высрал,1
мерзкой,1
яйцедрыгало,1
дикие,1
чурки,1
надоели,1
долбаебу,1
пидармон,1
недураки,1
оскорбление,1
е6алу,1
пидары,4
расстрелять,2
пи -ж,1
хренатень,1
далбаебов,1
диванные бойцы,1
кукухой поехали,1
гейропке,2
помойку,1
проблядь,2
долбоеб,4
бездари,1
прутся,1
нагуляется,1
припрется,1
шалавам,1
стадо,1
уничтожили,1
пендосами,1
парашных,1
ебланов,1
полицаи,2
уебков,1
моральных уродов,1
нищебродам,1
козлов,2
пиздили,2
набить ему морду,1
дегенерат,2
дохуя,1
придателем,1
растощили,1
пидрилу,1
говнюки,1
безмозглые,1
бездельники,1
блядьми,1
продажными,1
падлу,2
бакланить,1
дятлы,1
ёб.утые,1
дебила,2
стыдно,1
тварях,1
упыря,1
просрали,1
ебаные,2
ебилы,1
лизнул,2
черта лысого,1
пиздобол,2
бомжами,1
ибать,2
хреновые,1
рашке,1
кинули,1
ни хрена себе,1
дураков,1
ебанутых,3
козлина,1
мыышь серогорбая,1
метелить,1
ебанашки,1
предатели,1
иуд,1
пидоров,3
мерзкого,1
гадкого,1
тупорылое,1
петушиный,2
пьянь,1
ебанутый,1
прое**ла,1
падля,1
блть,1
вонючая,1
посадить,2
преступление,1
непрофессионализм,1
пидорах,1
подгорает,1
лалки,1
глупое,1
не пристегнут,1
пиздюк,2
пидара,1
отсохли,2
иуда,1
сук обломанный,1
заткнул,1
поганый рот,1
догавкаешся,1
педофильские,1
молчи,1
сучонок,1
распух,1
долбаебы,2
пидару,1
дебилами,1
унитаз,1
любовников,1
помойная яма,1
пидерасты,1
глумление,1
отрубить,1
чухана,1
пидорасок,1
драчующейся,1
заебало,1
оскарблять,1
жидов,1
блдь,1
уебок,4
предатель,2
пидарья,1
кастрюлеголовый,1
петух,2
долбоебизму,1
мля,2
шалава,1
срать,2
простипутка,1
блядине,1
поперли,1
паршивый,1
дырявые,1
на хер,2
пидору,3
отвянь,1
пидорас прилипчивый,1
шавка,1
неудовлетворенная,1
лох,2
уничтожают,1
мусорам,2
хуево,1
бичара,1
хренов,1
далбоеб,1
хуярят,1
хрень,1
необделывался,1
ебался,1
упырь,2
хер,2
не понятно,1
дибильные,1
тупорылые,2
долбоёбы,1
тварььь,1
выеживаться,1
наглости,1
въебу,1
проститутка,1
стерва,1
охуел,1
нихера,1
карявые,1
угнать,1
пиздаболов,1
даунский,1
пиздабо,1
повесит,1
парашу,1
сукам,1
ебанутого,1
осатанели,1
пиз......ц.,1
попездывает,1
дармоедов,1
ублюдок,3
пиздеж,1
хуета,2
бесполезная,1
жирные,1
хари,1
нажрутся,1
чурка,1
идиота,2
русачков,1
русни,1
отпиздошить,1
жирный,2
кабан,1
блятскую,1
гнойный,2
пиздежи,1
дебилу,1
ущербного,1
маразматик,1
развал,1
выебываца,1
ска,1
лахтодырский,1
оккупанты,1
упыри,2
поймать,1
кострировать,1
наказывать,1
скоты,2
обнаглели,1
далбонутого,1
долбонутым,1
шлюха,1
долбоёбу,1
мразоту,1
выследить,1
собаку,1
выебали,1
пиздить,2
свиней,1
кормушку,1
похую,1
уёбищная,1
унитаза,1
пидорнули,1
гадам,1
снашают,1
вскукарекнул,1
слился,1
обострения,1
шизы,1
х..ли,1
хуесосам,1
въёбывают,1
ужас,2
жопы,2
не помытова рта,1
черти,1
по..,1
дурика,1
долбоебам,1
завидно,1
пиздите,1
слабо,1
олени,1
колхозные,1
да блин,1
избить,1
туша,1
схуяли,1
ебанем,1
пса,1
промандоблядские,1
блядской,1
б*****,1
бесом,1
безбашеный,1
неукротимую диарею,1
вонючую,1
шкуру,1
обезьяны,1
издеваетьсянад,1
сажать на кол,1
лезут,1
высера,1
осиновый кол,1
выебать,1
фу,2
тупо,1
хейтить,1
прыщавого,1
сопливого,1
брехуйло,1
бабы,1
бл..ь,2
пидораха,1
русня,2
гандона,2
алкаша,1
еб.нулись,1
уроды ёбаные,1
алкаш,3
гребанный,1
баран,1
хуева,1
не хрена,1
жополиз,1
типикал,1
латыш,1
бульбаш,1
жидяры,1
х.й,2
сраного,1
долбохозяйка,1
надоел,1
жестокие,1
выкинут,1
предадут,1
чмырили,1
съебал,1
херня,2
драпанул,1
заебло,1
бабке,1
дебил конченный,1
позориться,1
пошёл нахуй,1
петушинное,1
наворовал,1
пиз бол,1
драный,1
ускоглазые,1
морду набить,1
зло,1
упырей,2
полуумные,1
посмешище,1
похер,2
хуйила,1
пидрила,1
псов,1
скотов,1
как грязи,1
скатину,1
робот,1
сученок,1
чмо лысое,1
долбаебам,1
ужасссссс,1
нелюди,1
развод,2
кидает,1
блокирует,1
ебучиеееее,1
шизоида,1
неучи,1
сраную,1
моральные уроды,2
убить хочется,1
пид#ары,1
пидры,1
говнокомментов,1
отморозков,1
вонючий,1
пидорас-хуесос,1
неприятные,1
филосаф,1
интеллектуал,1
шизиков,1
ахуеть,1
фонари хотел побить,1
опу прострели,1
бить надо,1
наркоман,1
обрубал,1
воровство,1
пи-доры,1
рнешника,1
недоделанного,1
расистом,1
пизди,1
гадёныш,1
гаденыш,1
кошелку,1
тупые,1
заразят,1
урода,1
жидок,1
передохнет,1
хуям,1
садить,1
подонке,1
тупице,1
бугуртит,1
рашковане,1
даунов,1
охуею,1
бойтесь,1
под*хуели,1
безмозговых,1
горбатого магила,1
пидораса,1
еврейская рожа,1
хитрозадые,1
обдурить,1
рожа,1
ебал,2
всех в рот,1
ушлёпки,1
заебал,2
конченная,1
фашисты,1
власовцы,1
отсоси,1
пьяку,1
гандоны,1
дебилок,1
нестоят,1
иди,1
соси,1
плешивого,1
пидоросёнка,1
убила,1
скотину,2
пиздоболки,1
хуиплеты,1
грабить,1
умник хуев,1
пиздоболу,1
казел,1
не отебаный,1
пидорасах,1
предателях,1
шлюхи,1
ебливую,1
заебли,1
пьянчуги,1
охренеть,1
ебанулись,3
с*ка,1
кодлу,1
гэбэшных,1
алкашей-свиней,1
рабам,1
спидоранам,1
бомбит,1
скандалы,1
нехер,1
тяжело,1
зажрался,1
клянчит,1
гадости,2
подлец,1
упрямые бараны,1
хуйни,2
полудурок,1
игиловского бандита,1
пургу,1
дибелоиды,1
трамподауны,1
вбубенится,1
долбоинструктор,1
умалишенный,1
срача,1
школьников,1
рашка,1
опустили,1
стукачество,1
тупоголовым,1
хамло,1
наморднике,1
бабло,1
холопов,1
сволочей,1
парашным,1
чпокнули,1
вонючка,1
лжи,1
тупых,1
соловьихи,1
проблеммы,1
недоумок,1
сраная,1
быдлу,1
при корытники,1
нечисть,1
мешаете,1
упырям,1
бандеровцам,1
негатив,1
воруют,1
выбить,1
сучара,1
пендостане,1
х.з,1
пораше,1
враг,1
троллюга,1
этого клоуна,1
прайсблядь,1
конченой,1
авантюриста,1
дизлайк,1
ебнешь,1
сявка,1
гавно,2
коновалов,1
тфу,1
криворукие,1
коновалы,1
изуродовать,1
говноконтент,1
выцыганивания,1
быдловат,1
поганцы,1
вонь,1
вора,1
бандита,1
навалять,1
м.......,1
ебалом,1
яйца не болят,1
говном,1
злобе,1
позорщики,1
ебуками,1
гавнюк,1
обижать,1
ананист,1
свиной,1
гбшной,1
подачки,1
затявкал,1
дешёвка,1
ослоеба,1
урот,1
доёбывался,1
вечносрущего,1
шлюшкины,1
блджад,1
конченое,1
говноящику,1
отвязалась,1
стрёмную,1
чокнутую,1
засрали,1
гавнюки,1
пропили,1
горе,1
безумия,1
мухасрансков,1
гадов,2
ублюдка,1
недоноски,1
скатина,1
тупорылкой,1
колет,1
козлопидарами,1
враги,1
сукины дети,1
мордой,1
биомусор,1
ху...й,1
безграмотной,1
стебешься,1
опаcноcть,1
cмаковать,1
мучения,1
выcирая,1
доноcы,1
фуфлыжники,1
дурачок,1
лживая,1
хамелеонша,1
расстрел,1
пидоросы,1
хуеплета,1
еблом,1
пиздюкам,1
засранцам,1
мудаков,1
угомонятся,1
жрать,1
пиздаболы,1
пиндос,1
дрочить,1
блядство,1
рабыня,1
продались,1
иди на хуй,1
блядина,1
доходягу,1
ебанашек,1
украл,1
зарезал,1
подонки,1
обосрался,1
авотхуй,1
придурков,1
окурки,1
лысая,1
пидарасов,1
ебальники,1
охуевший,1
пидорматические,1
недоёбок,1
нахамить,1
пидобол,1
поганых,1
гавкаешь,1
жопоглазый,1
поганные,1
забьют,1
пососали хуй,1
копеечным,1
блядская,1
скулить,1
псина подзаборная,1
пидрюгу,1
семейка,1
